-;author;description;guid;to;likecount;link;pubdate;replycount;title;authorChannelUrl
1;Reza Rahardian;mba najwa bisa tdk telusuri perluasan kawasan marunda center dikabupaten bekasi yg dmn perluasan lahan mereka menguruk laut yg ada disitu,terakhir dan sudah jd bangunan adalah pt.sinarmas dan pelabuhannya,dan sekarang sedang berjalan lg pengurukan laut untuk perluasan kawasan mereka,krn kawasan marunda center setahu saya milik swasta sedangkan laut milik negara,,kira2 ada unsur pidananyakah??krn dikabupaten bekasi msh bnyk mafia tanahnya;UgwdGXGKD9fLq2aCovB4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwdGXGKD9fLq2aCovB4AaABAg;2023-06-22 11:24:42;0;mba najwa bisa tdk telusuri perluasan kawasan marunda center dikabupaten bekasi yg dmn perluasan lahan mereka menguruk laut yg ada disitu,terakhir dan sudah jd bangunan adalah pt.sinarmas dan pelabuhannya,dan sekarang sedang berjalan lg pengurukan laut untuk perluasan kawasan mereka,krn kawasan marunda center setahu saya milik swasta sedangkan laut milik negara,,kira2 ada unsur pidananyakah??krn dikabupaten bekasi msh bnyk mafia tanahnya;http://www.youtube.com/channel/UCbiNFEgujbJ0k4P3GKGwA2A
2;Haris Sopian;Kurang tahu mslh yg terjadi namun yg pasti dari awal kapuk naga indah 2012 ,Pluit city green bay..ikut dg Van oord ,,boskalis.djn..;UgzBPTJ-AiTvQhqbYyB4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzBPTJ-AiTvQhqbYyB4AaABAg;2023-06-17 14:56:36;0;Kurang tahu mslh yg terjadi namun yg pasti dari awal kapuk naga indah 2012 ,Pluit city green bay..ikut dg Van oord ,,boskalis.djn..;http://www.youtube.com/channel/UCRVCPSSuOeZ6cBNcS3jUxmA
3;Ery Pramudia Anandan;Ulah Ahok ??;Ugwo5idgo3Ul517MY854AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugwo5idgo3Ul517MY854AaABAg;2023-06-09 03:39:43;0;Ulah Ahok ??;http://www.youtube.com/channel/UCdGsQXrIDMnPg6LJ9QXgocw
4;Ubay Jali;Udah jadi sekarang malah;UgxFH8nMsX3OH1XVUql4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgxFH8nMsX3OH1XVUql4AaABAg;2023-06-01 07:13:12;0;Udah jadi sekarang malah;http://www.youtube.com/channel/UCaV1ZYx01ZV8chOu471ogxA
5;Arya_Projek??;Areal transmigrasi kali yak..;Ugz9ftvUR3UBJVs8Y814AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugz9ftvUR3UBJVs8Y814AaABAg;2023-02-21 19:31:42;0;Areal transmigrasi kali yak..;http://www.youtube.com/channel/UCMwvfxd07jGFgDQuooXBtAQ
6;wahyu nugroho;Suaranya ilang wkwkwkw;UgytYc4KlDhTmpdx4NZ4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgytYc4KlDhTmpdx4NZ4AaABAg;2023-01-29 07:56:24;0;Suaranya ilang wkwkwkw;http://www.youtube.com/channel/UCXegbaKqx6q0C-dld2s9rfQ
7;hokie;ada kaitannya dengan Meikarta sekarang ini ??;UgySnl_jUMkln_oF0TJ4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgySnl_jUMkln_oF0TJ4AaABAg;2023-01-25 13:33:25;0;ada kaitannya dengan Meikarta sekarang ini ??;http://www.youtube.com/channel/UCQGsVeHmm0LMFWRaODBo4mw
8;Kle Wank;Begitulah Indonesia. disaat rakyat intelektual ingin memajukan negara dengan melaju cepat, tertahan oleh rakyat awam dengan ilmu terbatas. Disaat rakyat menengah atas ingin maju mengejar dari ketertinggalan, tertahan oleh rakyat yg masih di jurang kemiskinan.;Ugy5FEPs8vLSdYDq6qR4AaABAg;;1;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugy5FEPs8vLSdYDq6qR4AaABAg;2022-12-29 05:33:43;3;Begitulah Indonesia. disaat rakyat intelektual ingin memajukan negara dengan melaju cepat, tertahan oleh rakyat awam dengan ilmu terbatas. Disaat rakyat menengah atas ingin maju mengejar dari ketertinggalan, tertahan oleh rakyat yg masih di jurang kemiskinan.;http://www.youtube.com/channel/UCHHsL5lc8eYV5Jw8zkaCqzQ
9;Make Tool 3D;ketika anda menghubungkan kemajuan dengan pulau reklamasi maka di saat itu lah anda mengharap si miskin tambah miskin dan si kaya tambah kaya;Ugy5FEPs8vLSdYDq6qR4AaABAg.9kDQLSMomdt9ufA21pOCvg;Kle Wank;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugy5FEPs8vLSdYDq6qR4AaABAg.9kDQLSMomdt9ufA21pOCvg;2023-09-14 23:43:11;0;ketika anda menghubungkan kemajuan dengan pulau reklamasi maka di saat itu lah anda mengharap si miskin tambah miskin dan si kaya tambah kaya;http://www.youtube.com/channel/UCSnMrZGC2zz5AXC_35IUARw
10;Make Tool 3D;maju harus berbarengan, yang jadi masalah di kita adalah gap antara yang miskin dan si kaya di indonesia, sedangkan asas indonesia itu adalah keadilan sosial bagi seluruh rakyat indonesia, jika pulau tersebut di bangun untuk memajukan bangsa indonesia maka selayaknya hasil pembangunan itu di nikmati oleh masyarakat umum, bukan di buat privat, akibat dari pembangunan pulau reklamasi itu langsung berdambak bagi penghasilan nelayan2 yang mana itu semakin dapat menambah gap antara miskin dan kaya yang mana itu jauh dari konsep pancasila;Ugy5FEPs8vLSdYDq6qR4AaABAg.9kDQLSMomdt9uf9p3Rqnw4;Kle Wank;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugy5FEPs8vLSdYDq6qR4AaABAg.9kDQLSMomdt9uf9p3Rqnw4;2023-09-14 23:41:16;0;maju harus berbarengan, yang jadi masalah di kita adalah gap antara yang miskin dan si kaya di indonesia, sedangkan asas indonesia itu adalah keadilan sosial bagi seluruh rakyat indonesia, jika pulau tersebut di bangun untuk memajukan bangsa indonesia maka selayaknya hasil pembangunan itu di nikmati oleh masyarakat umum, bukan di buat privat, akibat dari pembangunan pulau reklamasi itu langsung berdambak bagi penghasilan nelayan2 yang mana itu semakin dapat menambah gap antara miskin dan kaya yang mana itu jauh dari konsep pancasila;http://www.youtube.com/channel/UCSnMrZGC2zz5AXC_35IUARw
11;benjamin;Betul, Ini mengenai pola pikir maindset yg tdk ingin maju;Ugy5FEPs8vLSdYDq6qR4AaABAg.9kDQLSMomdt9ls_p_KFjhU;Kle Wank;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugy5FEPs8vLSdYDq6qR4AaABAg.9kDQLSMomdt9ls_p_KFjhU;2023-02-08 11:04:51;0;Betul, Ini mengenai pola pikir maindset yg tdk ingin maju;http://www.youtube.com/channel/UCP1yHgaMVt_bsZyiju8y3ng
12;Gunaone Galaxy;Jakarta aj gk beres kok mau calon lbh tinggi... Kok jd serem mikiri masa depan indonesia;UgzXEEbEA6FhZOPVH9V4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzXEEbEA6FhZOPVH9V4AaABAg;2022-12-21 10:57:19;0;Jakarta aj gk beres kok mau calon lbh tinggi... Kok jd serem mikiri masa depan indonesia;http://www.youtube.com/channel/UCl_jE33rxrCJ57zUVFUIYAA
13;Tanaka Koki lovad;Manfaat reklamasi untuk mengurangi kepadatan penduduk jakarta dan mencegah kebanjiran sebelum jakarta tenggelam di tahun 2050 . Memang masyarakat Jakarta tidak tahu manfaat reklamasi. Apalagi jakarta terlalu padat dan sesat. Padahal reklamasi itu adalah solusi untuk masyarakat Jakarta. Mencegah kebanjiran??. Lahan untuk pemukiman baru ??????. Penuh hijau?????????? ????????. Lahan untuk pekerjaan yang baru?? ????????????????????. Jalan lebar ????. Lahan untuk pendidikan??????????????. Lahan yang luas????????????????????????. Dan lingkungan hidup?? ????????????????????????. Daripada ibukota pindah dan membiarkan Jakarta tenggelam lebih baik untuk tanggul laut jakarta dan reklamasi ??????????. Ahok memang hebat ???????????????????????;UgzRZLhvk_9naXE6YBZ4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzRZLhvk_9naXE6YBZ4AaABAg;2022-10-15 01:46:25;0;Manfaat reklamasi untuk mengurangi kepadatan penduduk jakarta dan mencegah kebanjiran sebelum jakarta tenggelam di tahun 2050 . Memang masyarakat Jakarta tidak tahu manfaat reklamasi. Apalagi jakarta terlalu padat dan sesat. Padahal reklamasi itu adalah solusi untuk masyarakat Jakarta. Mencegah kebanjiran??. Lahan untuk pemukiman baru ??????. Penuh hijau?????????? ????????. Lahan untuk pekerjaan yang baru?? ????????????????????. Jalan lebar ????. Lahan untuk pendidikan??????????????. Lahan yang luas????????????????????????. Dan lingkungan hidup?? ????????????????????????. Daripada ibukota pindah dan membiarkan Jakarta tenggelam lebih baik untuk tanggul laut jakarta dan reklamasi ??????????. Ahok memang hebat ???????????????????????;http://www.youtube.com/channel/UCBNfTPSAFcQvkowrudmkFeA
14;fergutin;Kok sekarang adem ayem ini pik ??;Ugx2zJfwn1oUGKLyuPB4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugx2zJfwn1oUGKLyuPB4AaABAg;2022-10-15 01:26:05;0;Kok sekarang adem ayem ini pik ??;http://www.youtube.com/channel/UCoe9fbtLTB4iPIFiLj4w_Kg
15;M R;Najwa kadrun mna suaranya sekarang lanjut ????;Ugy83s_0gxBayGZdVwN4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugy83s_0gxBayGZdVwN4AaABAg;2022-09-23 07:05:57;0;Najwa kadrun mna suaranya sekarang lanjut ????;http://www.youtube.com/channel/UCM4Nayd421gJFILNZ2MWAMw
16;Bentol channel;Klo mo maju hrus perluas wilaya ahok mntap ..;UgwKCwaALo8sTsoMnyJ4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwKCwaALo8sTsoMnyJ4AaABAg;2022-08-18 21:50:48;0;Klo mo maju hrus perluas wilaya ahok mntap ..;http://www.youtube.com/channel/UCA7dJE0gVmtEx7SRyHG2wpA
17;Bentol channel;Mantap Ahok ????;Ugwpb6nK9CwJbjlgKh54AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugwpb6nK9CwJbjlgKh54AaABAg;2022-08-18 21:49:27;0;Mantap Ahok ????;http://www.youtube.com/channel/UCA7dJE0gVmtEx7SRyHG2wpA
18;Ridas Emzen;Pulau pulau reklamasi sebaiknya untuk kawasan industri yg bersahabat dengan Al lingkungan hidup, bravo pelayan gue karyamu melegenda;UgyFlqIUvTCfmE79sfp4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgyFlqIUvTCfmE79sfp4AaABAg;2022-07-24 11:48:20;0;Pulau pulau reklamasi sebaiknya untuk kawasan industri yg bersahabat dengan Al lingkungan hidup, bravo pelayan gue karyamu melegenda;http://www.youtube.com/channel/UC6U7oTugOlWJQRk8diE3Y3w
19;zabar Zat;Reklamasi harus di ttup.. karna ini adalah fasilitas buat china pki. Usut tuntas Reklamasi dan Gantung Ahok si Impoten di Reklamasi.;UgztLFx3mssEZLiDlkZ4AaABAg;;1;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgztLFx3mssEZLiDlkZ4AaABAg;2022-07-18 04:57:00;0;Reklamasi harus di ttup.. karna ini adalah fasilitas buat china pki. Usut tuntas Reklamasi dan Gantung Ahok si Impoten di Reklamasi.;http://www.youtube.com/channel/UCHSyuOUSHQr06jCATQOAm8Q
20;fergutin;Mana suaranya sekarang wkwkw kok pd diem ??????;UgwiPKQbKRBQswExH3t4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwiPKQbKRBQswExH3t4AaABAg;2022-06-17 21:08:24;0;Mana suaranya sekarang wkwkw kok pd diem ??????;http://www.youtube.com/channel/UCoe9fbtLTB4iPIFiLj4w_Kg
21;Sobur Wardayana;SEBENERNYA PULO ITU UNTUK SIAPA DAN TUJUANNYA...APAKAH UNTUK BANGSA ORANG CINA,APA ORANG ARAB,,,APAKAH ORANG PRIBUMI JADI TUKANG PALKIR?;Ugx6934w6IZDIztQsG54AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugx6934w6IZDIztQsG54AaABAg;2022-03-23 17:00:13;0;SEBENERNYA PULO ITU UNTUK SIAPA DAN TUJUANNYA...APAKAH UNTUK BANGSA ORANG CINA,APA ORANG ARAB,,,APAKAH ORANG PRIBUMI JADI TUKANG PALKIR?;http://www.youtube.com/channel/UCIAavQIofE_4fQYJnFMHRaQ
22;Yuven Atok;Klo ga kepake,mending di jdikan tempat penghijauan??;UgwHO_4rAnZrkhj0DCR4AaABAg;;1;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwHO_4rAnZrkhj0DCR4AaABAg;2021-10-24 22:35:43;0;Klo ga kepake,mending di jdikan tempat penghijauan??;http://www.youtube.com/channel/UCizfNj9pYOFSCmaASWKIIVA
23;Lasun Tampan;Klw di lanjutkan buat apa untuk orang asing;Ugy1byhc3tNKNSxBhrN4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugy1byhc3tNKNSxBhrN4AaABAg;2021-10-14 17:09:33;0;Klw di lanjutkan buat apa untuk orang asing;http://www.youtube.com/channel/UCx47DypZbJYLpaI-jgf_4bA
24;christian sidharta;Tiga Tahun kemudian... Mau dipakai buat Ajang Balap mobil Formula-E ??? membagongkan;Ugwqo8zmiayATg3iEqV4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugwqo8zmiayATg3iEqV4AaABAg;2021-10-10 21:35:33;0;Tiga Tahun kemudian... Mau dipakai buat Ajang Balap mobil Formula-E ??? membagongkan;http://www.youtube.com/channel/UChXXozZP3Ir6qw2Q8K-nddw
25;Natural Thunder;Orang asing kok boleh beli tanah,heran Di lndonesia ini;UgxBc-desbD6xuwS7y54AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgxBc-desbD6xuwS7y54AaABAg;2021-10-07 19:06:16;0;Orang asing kok boleh beli tanah,heran Di lndonesia ini;http://www.youtube.com/channel/UCy65ViRxeZ0acOQwczo0aJQ
26;Eka Ambarwati;Bagaimana pengelolaan pesisir dan pulau-pulau kecil, apakah sudah sesuai dengan UU no.27 tahun 2007 /UU WP3K?;UgwUU8LB0sKNPUhyAkl4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwUU8LB0sKNPUhyAkl4AaABAg;2021-09-30 10:15:42;0;Bagaimana pengelolaan pesisir dan pulau-pulau kecil, apakah sudah sesuai dengan UU no.27 tahun 2007 /UU WP3K?;http://www.youtube.com/channel/UCkiGNa4ptjdZEBF3YxwRrrg
27;New Alfanisa;"Sekarang rumah"" disana harganya wow ??";UgyIyij8pXGJm8l0Ij94AaABAg;;1;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgyIyij8pXGJm8l0Ij94AaABAg;2021-09-29 18:56:57;0;"Sekarang rumah"" disana harganya wow ??";http://www.youtube.com/channel/UC3wR4pLfrHpTETkVD0eZHfw
28;Yose Alvito;Dibuat bisinis supaya lapangan kerja ad di jagal, trus lapangan kerja di jakarta udah mulai habis gimna nih solusinya?;UgyWrBKcxgzS_dz5eON4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgyWrBKcxgzS_dz5eON4AaABAg;2021-09-04 09:42:30;0;Dibuat bisinis supaya lapangan kerja ad di jagal, trus lapangan kerja di jakarta udah mulai habis gimna nih solusinya?;http://www.youtube.com/channel/UC7g_OiBqhgFtLwjPnxQqHUg
29;Samurbandy Vlog;Adanya subway adanya reklamasi sebenarnya udah ada rencana dari jaman dulu. Tapi karena isu agama anti china membuat reklamasi batal ditengah jalan. Jakarta susah diajak maju, gabisa mikirin benefit apa aja dr reklamasi. Sudahlah jakarta dijadikan sentra penangkapan ikan aja gausah jd ibukota.;UgxL977_XH23yiAeDFF4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgxL977_XH23yiAeDFF4AaABAg;2021-07-21 23:18:43;0;Adanya subway adanya reklamasi sebenarnya udah ada rencana dari jaman dulu. Tapi karena isu agama anti china membuat reklamasi batal ditengah jalan. Jakarta susah diajak maju, gabisa mikirin benefit apa aja dr reklamasi. Sudahlah jakarta dijadikan sentra penangkapan ikan aja gausah jd ibukota.;http://www.youtube.com/channel/UCgHkyh2dgEJS6cRyiwWaFxA
30;Mohamad Imam Zarkasi;WAKAKKAKA REKLAMASI UTK CINA;UgwxShto0AaN10DVuR94AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwxShto0AaN10DVuR94AaABAg;2021-05-31 19:44:29;0;WAKAKKAKA REKLAMASI UTK CINA;http://www.youtube.com/channel/UCkowtfIdYop0hxocz35W1hg
31;yusuf comeback;lanjutkan;UgxpAbAiubSo240lwJ94AaABAg;;1;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgxpAbAiubSo240lwJ94AaABAg;2021-04-21 08:03:39;0;lanjutkan;http://www.youtube.com/channel/UCyVNM_IDV6buHgqQTXh1sWw
32;Restu Etuu;Untung sj di stop .klau gk udh jd nasibnya sperti singapore yg cmn di tempati sma warga cukong ..klau udh kya gtu ,di tempati sj orang pribumi;UgwLGj5RoMe4081UBJd4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwLGj5RoMe4081UBJd4AaABAg;2021-04-10 01:28:07;0;Untung sj di stop .klau gk udh jd nasibnya sperti singapore yg cmn di tempati sma warga cukong ..klau udh kya gtu ,di tempati sj orang pribumi;http://www.youtube.com/channel/UCMZ8dKnvF2UD5_b1dIH01yA
33;Azizii_;Dan sekarang ????? Lokasi nya jadi hit jadi tempat menghabiskan waktu sore ...;UgzHHnv3H2uWjfOj0AV4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzHHnv3H2uWjfOj0AV4AaABAg;2021-04-04 23:28:33;0;Dan sekarang ????? Lokasi nya jadi hit jadi tempat menghabiskan waktu sore ...;http://www.youtube.com/channel/UCcQJ9tsezgo_Ca76yXcVKvQ
34;Nefan;Skr pulaunya SDH jadi Destinasi wisata ??;Ugzz1rSeyIm-NjBXLEV4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugzz1rSeyIm-NjBXLEV4AaABAg;2021-03-22 09:10:00;0;Skr pulaunya SDH jadi Destinasi wisata ??;http://www.youtube.com/channel/UCKieY4LLfYgK3WOS-ecL3Ng
35;Usman Gumanti;Kalau ada pesantren di sana pasti rame dan banyak orang kaya muslim yang akan membeli apartemen;Ugx7dxhbxzD4zSMto5B4AaABAg;;1;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugx7dxhbxzD4zSMto5B4AaABAg;2021-03-08 10:17:29;0;Kalau ada pesantren di sana pasti rame dan banyak orang kaya muslim yang akan membeli apartemen;http://www.youtube.com/channel/UCUtcnPI6U5jK0tX5v5icYyw
36;M hbl;dahlah males tinggal di indo;Ugzp8vj1VpnGgEJ-o214AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugzp8vj1VpnGgEJ-o214AaABAg;2020-10-30 20:32:21;0;dahlah males tinggal di indo;http://www.youtube.com/channel/UC8NGdCg4mn5sFlBQeIntSPA
37;fadeel official;Bagusan pulau rekalmasi ni utk penduduk perumahan kumuh di jakarta.setelah semua pindah baru deh pinggiran yg kumuh tu buat penghijauan.baru kesejahteraan bagi seluruh rakyat Indonesia;Ugysk6WARm197Rw_D5t4AaABAg;;1;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugysk6WARm197Rw_D5t4AaABAg;2020-10-28 00:20:21;1;Bagusan pulau rekalmasi ni utk penduduk perumahan kumuh di jakarta.setelah semua pindah baru deh pinggiran yg kumuh tu buat penghijauan.baru kesejahteraan bagi seluruh rakyat Indonesia;http://www.youtube.com/channel/UC2kA_-JOfo5LPxHqoXFSffA
38;puttr4;Nahh inii cerdass;Ugysk6WARm197Rw_D5t4AaABAg.9FLQ1kRmWHb9JHyEoUS6Fy;fadeel official;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugysk6WARm197Rw_D5t4AaABAg.9FLQ1kRmWHb9JHyEoUS6Fy;2021-02-03 01:16:34;0;Nahh inii cerdass;http://www.youtube.com/channel/UCibFuUMPfDm2rYB1eFNbLEg
39;putrasurga surau gading;kalau masyarakat g mau di bangun,mengapa pemerintah terus ngotot mau bangun, ada apa.?;UgxpA5gP6CyYp33dyOx4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgxpA5gP6CyYp33dyOx4AaABAg;2020-10-14 08:48:26;0;kalau masyarakat g mau di bangun,mengapa pemerintah terus ngotot mau bangun, ada apa.?;http://www.youtube.com/channel/UCWFIhI_HuqU2aNjrkncexxg
40;putrasurga surau gading;yg jelas pulau reklamasi jadi hunian baru pendatang Cina di Indonesia.;UgxbrbFjMyBJaIuzgn54AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgxbrbFjMyBJaIuzgn54AaABAg;2020-10-14 08:46:50;0;yg jelas pulau reklamasi jadi hunian baru pendatang Cina di Indonesia.;http://www.youtube.com/channel/UCWFIhI_HuqU2aNjrkncexxg
41;Rahmat Habibie;Saya setuju di tuup Buat apa pulaunya moderen tapi asing yg menikmati;Ugw2WNPAz-TiRZJaUcN4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=Ugw2WNPAz-TiRZJaUcN4AaABAg;2020-09-26 02:23:14;0;Saya setuju di tuup Buat apa pulaunya moderen tapi asing yg menikmati;http://www.youtube.com/channel/UCN9qJyeYQtowGrKqzc4kJtw
42;Big Addy;Kameranya ga ada yg bagusan apa ya Kaya film horror ??????;UgwcJJQLrxsGe03-XQN4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwcJJQLrxsGe03-XQN4AaABAg;2020-09-20 07:19:32;0;Kameranya ga ada yg bagusan apa ya Kaya film horror ??????;http://www.youtube.com/channel/UCdCVHr3cEVnc1aU_DO3BGrA
43;Princess Gaming;Untuk di jadikan tempat wisata para turis bisa juga kali ya. Malah bisa mendatangkan devisa bagi negara.;UgwNykl1E8AUTiuAXw54AaABAg;;1;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgwNykl1E8AUTiuAXw54AaABAg;2020-09-17 13:45:41;0;Untuk di jadikan tempat wisata para turis bisa juga kali ya. Malah bisa mendatangkan devisa bagi negara.;http://www.youtube.com/channel/UCAlPFapc-HTkwLYmyfUULMw
44;Drone Cla10;Sukses selalu ya mbak nazwa ????;UgzzqBhzgbld4wOdUlF4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzzqBhzgbld4wOdUlF4AaABAg;2020-09-14 16:50:46;0;Sukses selalu ya mbak nazwa ????;http://www.youtube.com/channel/UC1Qzy9PVbtmJ_HvGWm_FSTQ
45;Ahmad Syamsuddinlutfi;Saya lebih setuju tanah/ pulau reklamasi ditanami pohon bakau/mangrove.... Manfaatnya lebih banyak ... Misal buat habitat ikan dll... Tau lah manfaat pohon bakau/mangrove;UgzqEXQnZDPYKXzx_oJ4AaABAg;;0;https://www.youtube.com/watch?v=q8FDOGWFguE&list=WL&index=1&t=64s&lc=UgzqEXQnZDPYKXzx_oJ4AaABAg;2020-09-11 08:53:51;0;Saya lebih setuju tanah/ pulau reklamasi ditanami pohon bakau/mangrove.... Manfaatnya lebih banyak ... Misal buat habitat ikan dll... Tau lah manfaat pohon bakau/mangrove;http://www.youtube.com/channel/UCS4kE-_pkJ6Lm6OvQSBobig
